status_id,clickbait_words_count,starts_with_number,starts_with_adverb,count_adverbs,count_adjectives,count_superlatives,count_uppercase,count_verbs,count_nouns,count_pronouns,count_prepositions,count_interjections,formality_measure,positive_sentiment_words,negative_sentiment_words
15704546335_10155633118301336,0,0,0,0,1,0,0,0,8,0,0,0,50.34615384615385,1.0,0.0
15704546335_10155633039641336,0,0,0,0,1,0,0,2,5,0,0,0,50.17857142857143,0.0,1.0
15704546335_10155626824671336,0,0,0,0,2,0,0,6,7,1,2,0,50.09090909090909,0.0,2.0
15704546335_10155632879246336,0,0,0,0,1,0,0,2,7,0,3,0,50.3,1.0,1.0
15704546335_10155632569986336,0,0,0,0,0,0,0,1,8,0,2,0,50.34615384615385,0.0,0.0
15704546335_10155626819901336,0,0,0,0,0,0,0,1,9,0,1,0,50.28125,0.0,1.0
15704546335_10155631822401336,0,0,0,0,3,0,0,1,6,0,1,0,50.26470588235294,0.0,2.0
15704546335_10155631711901336,1,0,0,2,0,0,0,2,6,0,1,0,50.09375,0.0,1.0
15704546335_10155631301666336,0,0,0,0,1,0,0,1,7,0,2,0,50.375,0.0,2.0
15704546335_10155631283641336,0,0,0,0,0,0,0,0,8,0,1,0,50.40909090909091,0.0,2.0
15704546335_10155630812926336,0,0,0,0,0,0,0,1,7,0,1,0,50.31818181818182,0.0,0.0
15704546335_10155626847471336,0,0,0,0,1,0,0,0,5,0,2,0,50.44444444444444,0.0,1.0
15704546335_10155627846221336,0,0,0,0,0,0,0,2,4,0,0,0,50.125,0.0,1.0
15704546335_10155626838666336,0,0,0,0,1,0,0,0,8,0,2,0,50.458333333333336,0.0,1.0
15704546335_10155626827741336,0,0,0,0,0,0,0,3,5,0,0,0,50.1,0.0,2.0
15704546335_10155629610331336,0,0,0,0,2,0,0,4,4,1,2,0,50.107142857142854,0.0,3.0
15704546335_10155626877416336,0,0,0,0,1,0,0,2,8,0,2,0,50.25,2.0,0.0
15704546335_10155628981456336,0,0,0,0,0,0,0,0,2,0,0,0,50.333333333333336,0.0,0.0
15704546335_10155627227026336,0,0,0,1,1,0,0,1,6,0,1,0,50.2,1.0,0.0
15704546335_10155627763621336,0,0,0,0,1,1,0,0,5,0,1,0,50.4375,0.0,0.0
15704546335_10155626904076336,0,0,0,0,0,0,0,0,8,0,0,0,50.4,0.0,0.0
15704546335_10155628657586336,0,0,0,0,0,0,0,0,7,0,1,0,50.36363636363637,0.0,0.0
15704546335_10155629708011336,0,0,0,0,0,0,0,0,8,0,3,0,50.38235294117647,1.0,1.0
15704546335_10155629626216336,0,0,0,0,2,0,0,2,6,0,1,0,50.23529411764706,0.0,0.0
15704546335_10155629559126336,0,0,0,0,0,0,0,1,7,0,2,0,50.36363636363637,0.0,1.0
15704546335_10155628973416336,0,0,0,0,0,0,0,0,2,0,0,0,50.333333333333336,0.0,0.0
15704546335_10155629128216336,0,0,0,1,0,0,0,2,7,0,1,0,50.15625,1.0,2.0
15704546335_10155628920431336,0,0,0,0,0,0,0,1,8,0,1,0,50.266666666666666,0.0,1.0
15704546335_10155628736026336,0,0,0,0,1,0,0,2,5,0,2,0,50.214285714285715,0.0,1.0
15704546335_10155628657566336,0,0,0,0,0,0,0,0,9,0,1,0,50.38461538461539,0.0,0.0
15704546335_10155628392546336,0,0,0,1,0,0,0,2,6,0,1,0,50.15384615384615,0.0,2.0
15704546335_10155627777051336,0,0,0,0,0,0,0,0,8,0,1,0,50.32142857142857,1.0,1.0
15704546335_10155626914371336,0,0,0,0,1,0,0,1,9,0,0,0,50.28125,0.0,2.0
15704546335_10155626921166336,0,0,0,0,0,0,0,1,9,0,3,0,50.3235294117647,0.0,0.0
15704546335_10155627196171336,0,0,0,0,1,0,0,0,8,0,2,0,50.458333333333336,0.0,0.0
15704546335_10155626864081336,0,0,0,0,1,0,0,0,10,0,1,0,50.35294117647059,0.0,1.0
15704546335_10155626255346336,0,0,0,1,1,0,0,1,7,0,1,0,50.233333333333334,1.0,1.0
15704546335_10155621666776336,0,0,0,0,0,0,0,0,5,0,2,0,50.44444444444444,0.0,0.0
15704546335_10155625721631336,0,0,0,0,1,0,0,0,10,0,2,0,50.361111111111114,0.0,2.0
15704546335_10155624105286336,0,0,0,0,1,0,0,2,4,0,2,0,50.25,0.0,2.0
15704546335_10155623189206336,0,0,0,2,0,0,0,4,6,2,2,0,50.02272727272727,0.0,0.0
15704546335_10155622620706336,0,0,0,0,0,0,0,0,7,0,2,0,50.45,0.0,0.0
15704546335_10155624009071336,0,0,0,0,0,0,0,1,7,0,1,0,50.31818181818182,0.0,2.0
15704546335_10155622195201336,0,0,0,1,0,0,0,0,10,0,1,0,50.333333333333336,0.0,0.0
15704546335_10155623363261336,0,0,0,0,0,0,0,0,2,0,0,0,50.333333333333336,0.0,0.0
15704546335_10155624173176336,0,0,0,1,0,0,0,1,9,0,0,0,50.25,2.0,1.0
15704546335_10155623720576336,0,0,0,0,0,0,0,1,7,0,0,0,50.23076923076923,0.0,0.0
15704546335_10155623619021336,0,0,0,0,1,0,0,0,9,0,2,0,50.46153846153846,0.0,0.0
15704546335_10155624253651336,0,0,0,1,1,0,0,2,9,0,1,0,50.19047619047619,1.0,1.0
15704546335_10155624506361336,0,0,0,1,0,0,0,3,5,1,0,0,50.0,1.0,1.0
15704546335_10155624567956336,0,0,0,0,0,0,0,1,5,0,2,0,50.3,0.0,0.0
15704546335_10155624455681336,0,0,0,0,2,0,0,0,5,0,0,0,50.35,1.0,0.0
15704546335_10155623841041336,0,0,0,0,0,0,0,1,7,0,0,0,50.2,0.0,1.0
15704546335_10155623803271336,0,0,0,0,0,0,0,1,12,0,1,0,50.4,0.0,2.0
15704546335_10155623294471336,0,0,0,0,0,0,0,4,7,0,1,0,50.142857142857146,0.0,2.0
15704546335_10155623194931336,0,0,0,0,0,0,0,1,7,0,0,0,50.31818181818182,0.0,0.0
15704546335_10155622919556336,0,0,0,0,1,0,0,0,9,0,1,0,50.392857142857146,0.0,1.0
15704546335_10155622973946336,0,0,0,1,1,0,0,2,4,0,2,0,50.15384615384615,0.0,0.0
15704546335_10155622665876336,0,0,0,0,1,0,0,1,6,1,0,0,50.17857142857143,0.0,0.0
15704546335_10155622498016336,0,0,0,0,0,0,0,0,9,0,1,0,50.46153846153846,1.0,0.0
15704546335_10155622164936336,0,0,0,1,0,0,0,2,12,0,3,0,50.30952380952381,0.0,1.0
15704546335_10155622251896336,0,0,0,0,0,0,0,1,6,0,1,0,50.333333333333336,0.0,0.0
15704546335_10155621536026336,0,0,0,0,1,0,0,1,6,0,2,0,50.36363636363637,1.0,0.0
15704546335_10155621495246336,0,0,0,0,1,0,0,1,8,1,3,0,50.25,0.0,0.0
15704546335_10155621316696336,0,0,0,0,0,0,0,1,8,0,2,0,50.375,0.0,1.0
15704546335_10155621231426336,0,0,0,0,0,0,0,0,7,0,1,0,50.36363636363637,0.0,0.0
15704546335_10155621164886336,0,0,0,0,2,0,0,1,6,0,2,0,50.34615384615385,1.0,0.0
15704546335_10155619143226336,0,0,0,0,0,0,0,1,8,0,1,0,50.3,0.0,0.0
15704546335_10155613969766336,0,0,0,0,1,0,0,0,7,0,1,0,50.45,0.0,1.0
15704546335_10155617720111336,0,0,0,0,0,0,0,3,9,1,0,0,50.13157894736842,0.0,0.0
15704546335_10155618471411336,0,0,0,0,1,0,0,0,12,0,1,0,50.388888888888886,0.0,1.0
15704546335_10155617326056336,0,0,0,0,0,0,0,2,11,0,0,0,50.28125,0.0,2.0
15704546335_10155616950841336,0,0,0,0,0,0,0,4,8,0,1,0,50.15625,1.0,1.0
15704546335_10155614600336336,0,0,0,0,0,0,0,0,11,0,0,0,50.3235294117647,0.0,3.0
15704546335_10155614074456336,0,0,0,0,2,0,0,2,8,0,3,0,50.3235294117647,1.0,4.0
15704546335_10155615270576336,0,0,0,0,1,0,0,5,5,0,1,0,50.06666666666667,0.0,2.0
15704546335_10155619165996336,0,0,0,0,0,0,0,0,9,0,2,0,50.42307692307692,1.0,0.0
15704546335_10155618390736336,1,0,0,0,1,1,0,1,7,0,1,0,50.26470588235294,1.0,0.0
15704546335_10155619170741336,0,0,0,0,0,0,0,2,9,2,1,0,50.19444444444444,1.0,0.0
