status_id,clickbait_words_count,starts_with_number,starts_with_adverb,count_adverbs,count_adjectives,count_superlatives,count_uppercase,count_verbs,count_nouns,count_pronouns,count_prepositions,count_interjections,formality_measure,positive_sentiment_words,negative_sentiment_words
155869377766434_1896939156992772,0,0,0,0,1,0,0,1,6,0,2,0,50.3,1.0,1.0
155869377766434_1896907900329231,0,0,0,0,2,0,0,2,3,0,1,0,50.142857142857146,1.0,0.0
155869377766434_1896878566998831,0,0,0,0,1,0,0,1,7,0,1,0,50.30769230769231,0.0,2.0
155869377766434_1896820640337957,0,0,0,0,0,0,0,2,7,0,1,0,50.25,0.0,2.0
155869377766434_1896793630340658,0,0,0,0,0,0,0,2,5,0,1,0,50.22727272727273,0.0,0.0
155869377766434_1896724500347571,0,0,0,0,0,0,0,0,7,0,1,0,50.3125,1.0,0.0
155869377766434_1896675713685783,0,0,0,1,1,0,0,3,3,0,2,0,50.125,1.0,0.0
155869377766434_1896561943697160,0,0,0,0,0,0,0,1,5,0,1,0,50.25,0.0,0.0
155869377766434_1896488717037816,0,0,0,1,0,0,0,0,7,0,3,0,50.34615384615385,0.0,0.0
155869377766434_1896460693707285,0,0,0,0,1,1,0,1,6,0,3,0,50.3,0.0,1.0
155869377766434_1896433570376664,0,0,0,1,1,0,0,2,5,0,1,0,50.15384615384615,2.0,0.0
155869377766434_1896350243718330,0,0,0,0,2,0,0,1,4,0,0,0,50.27777777777778,1.0,0.0
155869377766434_1896300577056630,0,0,0,0,1,0,0,3,2,3,2,0,49.96153846153846,1.0,0.0
155869377766434_1896244873728867,0,0,0,0,0,0,0,2,3,1,2,0,50.083333333333336,0.0,1.0
155869377766434_1896217287064959,0,0,0,1,1,1,0,0,9,0,2,0,50.35294117647059,3.0,1.0
155869377766434_1896114840408537,0,0,0,0,1,0,0,1,6,0,1,0,50.333333333333336,1.0,2.0
155869377766434_1896079747078713,0,0,0,0,2,0,0,2,4,1,1,0,50.166666666666664,1.0,1.0
155869377766434_1896020197084668,0,0,0,0,2,0,0,1,6,2,0,1,50.10526315789474,1.0,0.0
155869377766434_1895930680426953,0,0,0,1,1,0,0,2,6,0,0,0,50.166666666666664,1.0,1.0
155869377766434_1895834597103228,0,0,0,0,1,0,0,1,6,0,1,0,50.25,0.0,1.0
155869377766434_1895792503774104,0,0,0,0,1,0,0,1,7,0,3,0,50.3125,0.0,2.0
155869377766434_1895696497117038,0,0,0,0,1,0,0,2,7,0,1,0,50.21875,0.0,0.0
155869377766434_1895644080455613,0,0,0,0,0,0,0,1,6,0,1,0,50.23076923076923,0.0,0.0
155869377766434_1895594073793947,0,0,0,1,0,0,0,2,6,0,1,0,50.142857142857146,0.0,0.0
155869377766434_1895432720476749,0,0,0,1,1,0,0,1,4,0,1,0,50.18181818181818,0.0,0.0
155869377766434_1895138723839482,0,0,0,0,0,0,0,1,5,0,2,0,50.333333333333336,1.0,0.0
155869377766434_1895115957175092,0,0,0,1,0,0,0,1,4,0,1,0,50.1875,0.0,0.0
155869377766434_1895095960510425,0,0,0,0,1,0,0,1,8,0,1,0,50.32142857142857,1.0,0.0
155869377766434_1895070810512940,0,1,0,1,0,0,0,2,7,0,1,0,50.2,1.0,1.0
155869377766434_1895048870515134,0,0,0,0,1,0,0,1,6,0,1,0,50.35,0.0,1.0
155869377766434_1895020540517967,0,0,0,0,3,0,0,1,4,0,1,0,50.31818181818182,0.0,0.0
155869377766434_1894861230533898,0,0,0,2,0,0,0,1,5,1,2,0,50.088235294117645,0.0,0.0
155869377766434_1894827440537277,0,0,0,0,1,0,0,2,5,0,1,0,50.25,0.0,0.0
155869377766434_1894790860540935,0,0,0,0,3,0,0,1,3,0,0,0,50.3125,0.0,0.0
155869377766434_1894760547210633,0,0,0,0,1,0,0,3,2,1,1,0,50.04545454545455,0.0,0.0
155869377766434_1894732443880110,0,0,0,0,0,0,0,1,6,0,2,0,50.35,0.0,1.0
155869377766434_1894695530550468,0,0,0,0,0,0,0,0,8,0,2,0,50.416666666666664,1.0,1.0
155869377766434_1894659057220782,0,0,0,1,1,0,0,2,6,0,0,0,50.166666666666664,0.0,0.0
155869377766434_1894604000559621,0,0,0,0,0,0,0,0,6,0,1,0,50.30769230769231,0.0,0.0
155869377766434_1894558843897470,0,0,0,0,1,0,0,1,4,0,1,0,50.27777777777778,0.0,0.0
155869377766434_1894416060578415,0,0,0,0,1,0,0,2,4,0,3,0,50.23076923076923,0.0,2.0
155869377766434_1894365763916778,0,0,0,1,0,0,0,5,5,0,2,0,50.03125,1.0,0.0
155869377766434_1894285323924822,0,0,0,0,2,0,0,2,4,0,1,0,50.30769230769231,0.0,0.0
155869377766434_1894240977262590,0,0,0,1,0,0,0,0,6,0,2,0,50.35,0.0,0.0
155869377766434_1894139203939434,0,0,0,0,3,0,0,2,5,0,0,0,50.26923076923077,1.0,2.0
155869377766434_1894079207278767,0,0,0,1,1,0,0,3,4,1,2,0,50.05882352941177,0.0,0.0
155869377766434_1894043900615631,0,0,0,0,0,0,0,2,5,0,1,0,50.22222222222222,0.0,1.0
155869377766434_1893900980629923,0,0,0,0,0,0,0,0,9,0,1,0,50.333333333333336,0.0,0.0
155869377766434_1893882647298423,0,0,0,0,2,1,0,1,4,0,1,0,50.31818181818182,0.0,2.0
155869377766434_1893750157311672,0,0,0,1,0,0,0,6,5,1,0,0,49.911764705882355,0.0,1.0
155869377766434_1893686137318074,0,0,0,0,1,0,0,0,8,0,2,0,50.42307692307692,0.0,2.0
155869377766434_1893633803989974,0,0,0,0,0,0,0,2,2,0,0,0,50.0,0.0,0.0
155869377766434_1893590923994262,0,0,0,0,3,0,0,1,3,0,0,0,50.3125,0.0,0.0
155869377766434_1893469787339709,0,0,0,0,2,0,0,1,5,0,0,0,50.285714285714285,0.0,0.0
155869377766434_1893457774007577,0,0,0,0,0,0,0,1,8,0,3,0,50.333333333333336,0.0,0.0
155869377766434_1893441164009238,0,0,0,0,0,0,0,2,6,0,2,0,50.27272727272727,0.0,2.0
155869377766434_1893418357344852,0,0,0,0,1,0,0,1,5,0,1,0,50.31818181818182,0.0,0.0
155869377766434_1893352437351444,0,0,0,0,2,0,0,2,2,0,1,0,50.166666666666664,0.0,0.0
155869377766434_1893313750688646,0,0,0,0,1,0,0,1,6,0,1,0,50.35,0.0,1.0
155869377766434_1893265564026798,0,0,0,1,0,0,0,2,5,0,1,0,50.15,1.0,1.0
155869377766434_1893244364028918,0,0,0,0,1,0,0,2,8,0,2,0,50.32142857142857,0.0,2.0
155869377766434_1893215657365122,0,0,0,0,2,0,0,3,6,1,0,0,50.15384615384615,0.0,1.0
155869377766434_1893177000702321,0,0,0,0,1,0,0,2,3,0,1,0,50.15,0.0,1.0
155869377766434_1893145660705455,0,0,0,0,0,0,0,4,4,0,1,0,50.04545454545455,0.0,0.0
155869377766434_1893102707376417,0,0,0,0,0,0,0,2,6,0,3,0,50.25,0.0,1.0
155869377766434_1893014544051900,0,0,0,1,1,0,0,4,2,0,0,0,50.0,1.0,0.0
155869377766434_1892935910726430,0,0,0,1,0,0,0,2,5,1,0,0,50.041666666666664,0.0,0.0
155869377766434_1892902937396394,0,0,0,0,0,0,0,1,5,0,2,0,50.333333333333336,0.0,1.0
155869377766434_1892863614066993,0,0,0,0,0,0,0,4,7,0,2,0,50.1578947368421,0.0,0.0
155869377766434_1892837954069559,0,0,0,0,1,0,0,3,5,0,1,0,50.208333333333336,0.0,0.0
155869377766434_1892806750739346,0,0,0,0,0,0,0,2,4,0,2,0,50.15384615384615,0.0,0.0
155869377766434_1892766580743363,0,0,0,0,0,0,0,3,5,0,1,0,50.13636363636363,0.0,1.0
155869377766434_1892724090747612,0,0,0,1,1,0,0,1,6,0,1,0,50.2,1.0,0.0
155869377766434_1892686060751415,0,0,0,1,1,0,0,1,6,0,1,0,50.2,1.0,0.0
155869377766434_1892618760758145,0,0,0,1,0,0,0,2,7,0,0,0,50.142857142857146,0.0,1.0
155869377766434_1892578247428863,0,0,0,0,0,0,0,4,5,0,1,0,50.11538461538461,0.0,2.0
155869377766434_1892537930766228,0,0,0,0,0,0,0,3,6,0,1,0,50.18181818181818,0.0,0.0
155869377766434_1892500417436646,0,0,0,0,2,0,0,2,4,0,1,0,50.22727272727273,0.0,1.0
